ID,CLIENT,CLIENT_NAME,DESCRIPTION,SHARED_ENVIRONMENT,WH_SITE,EDIT_WHO,EDIT_DATE
1,BSP,Boeing Supplier Portal,"The Supplier Portal is a password protected website that provides a secure access point for Boeing suppliers to view general supply chain information from Boeing, as well as individualized information related to their contracts with Boeing and tools to manage ordering and payment activity. ",,LAX,rcunningham,"2018-05-27 01:00:06"
2,NKE,"Nike, Inc.","Nike, Inc. is an American multinational corporation that is engaged in the design, development, manufacturing, and worldwide marketing and sales of footwear, apparel, equipment, accessories, and services. ",,"LIN, LIN2",rcunningham,"2018-05-27 01:00:06"
3,JCI,Johnson Controls Inc,"Johnson Controls International plc is a multinational conglomerate headquartered in Cork, Ireland, that produces automotive parts such as batteries, and electronics and HVAC equipment for buildings.",,CIS,rcunningham,"2018-05-27 01:00:06"
4,BP,BP,"BP is one of the world's leading integrated oil and gas companies. Formerly British Petroleum, is a British multinational oil and gas company headquartered in London, England",,"FCB, PLB",rcunningham,"2018-05-27 01:00:06"
5,RTN,Raytheon,The Raytheon Company is a major U.S. defense contractor and industrial corporation with core manufacturing concentrations in weapons and military and commercial electronics.,,MNH,rcunningham,"2018-05-27 01:00:06"
6,SDL,Sundial Brands LLC,Sundial Brands LLC engages in the manufacture of skin care and hair care products. ,SDL,MNP,rcunningham,"2018-05-27 01:00:06"
7,XFOFN,XPO Fulfillment Network AutoNation,"Retail and e-commerce fulfillment, specialized technology and extensive warehousing and distribution capacity protect brand loyalty.",,"XNO, XNP",rcunningham,"2018-05-27 01:00:06"
8,AMZ,"Amazon.com, Inc.","Amazon.com, Inc., doing business as Amazon, is an American electronic commerce and cloud computing company based in Seattle, Washington that was founded by Jeff Bezos on July 5, 1994. ",,,rcunningham,"2018-05-27 01:00:06"
9,ATK,Alliant Techsystems Inc. ,"Alliant Techsystems Inc. was an American aerospace, defense, and sporting goods company with its headquarters in Arlington County, Virginia, in the United States. The company operated in 22 states, Puerto Rico, and other countries.",,,rcunningham,"2018-05-27 01:00:06"
11,BCA,Boeing Commercial Airline,"Boeing Commercial Airplanes is committed to being the leader in commercial aviation by offering airplanes and services that deliver superior design, efficiency and value to our customers and a superior flying experience to their customers.",IDS,,rcunningham,"2018-05-27 01:00:06"
12,BDS,"Boeing Defense, Space & Security","Boeing Defense, Space & Security is a division of The Boeing Company. It is responsible for defense and aerospace products and services. It was formerly known as Boeing Integrated Defense Systems.",IDS,,rcunningham,"2018-05-27 01:00:06"
14,CAT,Caterpillar Inc.,"Caterpillar Inc. is an American Fortune 100 corporation which designs, develops, engineers, manufactures, markets and sells machinery, engines, financial products and insurance to customers via a worldwide dealer network.",,"ABE, MGC",rcunningham,"2018-05-27 01:00:06"
15,CPG,Crescent Point Energy Corp. ,"Crescent Point Energy Corp. is an oil and gas company based in Calgary, Alberta, Canada and Denver, Colorado, United States. The company focuses primarily on light oil production in southern Saskatchewan and the Uinta basin in Utah. ","Kidde, Logitech, Philips Lighting ",,rcunningham,"2018-05-27 01:00:06"
16,DPR,DPR Construction,"DPR Construction is a commercial general contractor and construction management firm based in Redwood City, California.",,,rcunningham,"2018-05-27 01:00:06"
17,HP,Hewlett-Packard,"The Hewlett-Packard Company or shortened to Hewlett-Packard was an American multinational information technology company headquartered in Palo Alto, California",,"HON, HON2, HONQ, SCA, SCAQ, SVA, SVAQ",rcunningham,"2018-05-27 01:00:06"
18,IDS,Boeing Integrated Defense Systems,IDS is a unit of The Boeing Company responsible for defense and aerospace products and services.,,,rcunningham,"2018-05-27 01:00:06"
19,IR,Ingersoll Rand Inc.,"At Ingersoll Rand, we are a diversified industrial manufacturer with market-leading brands serving customers in global commercial, industrial and residential markets. Ingersoll Rand Products Logo.",,,rcunningham,"2018-05-27 01:00:06"
20,MNS,Monsanto,"Monsanto Company is a publicly traded American multinational agrochemical and agricultural biotechnology corporation. It is headquartered in Creve Coeur, Greater St. Louis, Missouri.",,DMI,rcunningham,"2018-05-27 01:00:06"
21,PT,Pandora,,,"FCP, ICS, PD1, PD2",rcunningham,"2018-05-27 01:00:06"
22,SMS,Siemens,"Siemens is a global powerhouse focusing on the areas of electrification, automation and digitalization. One of the world's largest producers of energy-efficient, resource-saving technologies, Siemens is a leading supplier of systems for power generation and transmission as well as medical diagnosis.",,"LDC, MTR, MTS",rcunningham,"2018-05-27 01:00:06"
23,SP2,Disney Stores,"The Disney Store is an international chain of specialty stores selling only Disney related items, many of them exclusive, under its own name and Disney Outlet. ",,"END, OCD",rcunningham,"2018-05-27 01:00:06"
24,TRT,Trinity,,,"FIN, FIN2",rcunningham,"2018-05-27 01:00:06"
25,UHG,United Health Group,"UnitedHealth Group Inc. is an American for-profit managed health care company based in Minnetonka, Minnesota. It is sixth in the United States on the Fortune 500.",,FTU,rcunningham,"2018-05-27 01:00:06"
26,VZW,Verizon Forward,"Verizon Wireless, is an American telecommunications company which offers wireless products and services. It is a wholly owned subsidiary of Verizon Communications.",,,rcunningham,"2018-05-27 01:00:06"
27,WHL,Western Hockey League,The Western Hockey League is a major junior ice hockey league based in Western Canada and the Northwestern United States. ,,,rcunningham,"2018-05-27 01:00:06"
